agito agitare agitavi agitatus
amo amare amavi amatus
appello appellare appellavi appellatus
celebro celebrare celebravi celebratus
certo certare certavi certatus
cogito cogitare cogitavi cogitatus
comparo comparare comparavi comparatus
consto constare constiti constatus
creo creare creavi creatus
curo curare curavi curatus
damno damnare damnavi damnatus
desidero desiderare desideravi desideratus
do dare dedi datus
dono donare donavi donatus
dubito dubitare dubitavi dubitatus
erro errare erravi erratus
existimo existimare existimavi existimatus
exspecto exspectare exspectavi exspectatus
fugo fugare fugavi fugatus
impero imperare imperavi imperatus
indico indicare indicavi indicatus
interrogo interrogare interrogavi interrogatus
intro intrare intravi intratus
iudico iudicare iudicavi iudicatus
iuro iurare iuravi iuratus
iuvo iuvare iuvi iutus
laboro laborare laboravi laboratus
laudo laudare laudavi laudatus
muto mutare mutavi mutatus
narro narrare narravi narratus
nego negare negavi negatus
occupo occupare occupavi occupatus
opto optare optavi optatus
oro orare oravi oratus
paro parare paravi paratus
pecco peccare peccavi peccatus
porto portare portavi portatus
praesto praestare praestiti praestitus
probo probare probavi probatus
propero properare properavi properatus
pugno pugnare pugnavi pugnatus
puto putare putavi putatus
revoco revocare revocavi revocatus
rogo rogare rogavi rogatus
servo servare servavi servatus
sono sonare sonui sonitus
specto spectare spectavi spectatus
spero sperare speravi speratus
sto stare steti status
supero superare superavi superatus
tempto temptare temptavi temptatus
turbo turbare turbavi turbatus
vaco vacare vacavi vacatus
veto vetare vetui vetitus
vito vitare vitavi vitatus
voco vocare vocavi vocatus
