adhibeo adhibere adhibui adhibitus
appareo apparere apparui apparitus
ardeo ardere arsi arsus
augeo augere auxi auctus
careo carere carui caritus
caveo cavere cavi cautus
censeo censere censui census
contineo continere continui contentus
debeo debere debui debitus
doceo docere docui doctus
doleo dolere dolui dolitus
exerceo exercere exercui exercitus
fleo flere flevi fletus
habeo habere habui habitus
iaceo iacere iacui iacitus
impleo implere implevi impletus
iubeo iubere iussi iussus
maneo manere mansi mansus
mereo merere merui meritus
misceo miscere miscui mixtus
moneo monere monui monitus
moveo movere movi motus
noceo nocere nocui nocitus
pareo parere parui paritus
pertineo pertinere pertinui pertentus
placeo placere placui placitus
praebeo praebere praebui praebitus
prohibeo prohibere prohibui prohibitus
respondeo respondere respondi responsus
retineo retinere retinui retentus
sedeo sedere sedi sessus
soleo solere solui solitus
solvo solvere solvi solutus
sustineo sustinere sustinui sustentus
taceo tacere tacui tacitus
teneo tenere tenui tentus
terreo terrere terrui territus
valeo valere valui valitus
video videre vidi visus
