accipio accipere accepi acceptus
afficio afficere affeci affectus
aspicio aspicere aspexi aspectus
capio capere cepi captus
conficio conficere confeci confectus
cupio cupere cupivi cupitus
deficio deficere defeci defectus
efficio efficere effeci effectus
eripio eripere eripui ereptus
excipio excipere excepi exceptus
facio facere feci factus
fugio fugere fugi fugitus
iacio iacere ieci iactus
incipio incipere incepi inceptus
interficio interficere interfeci interfectus
pario parere peperi partus
praecipio praecipere praecepi praeceptus
rapio rapere rapui raptus
recipio recipere recepi receptus
respicio respicere respexi respectus
suscipio suscipere suscepi susceptus
